input_order,ligand_id,Canonical SMILES,Butina_clusters,cluster_size,cluster_center_ligand_id
96,105,O=C1CCCCCN1,1109,3,105
97,106,CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2C1C(=O)O,8132,1,106
98,108,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,70,11,108
99,109,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,2077,2,109
100,111,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1,1137,2,111
101,112,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C=Cc3scnc3C)CSC12)c1csc(N)n1,8131,1,112
102,113,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CSC12)c1csc(N)n1,101,9,113
103,114,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[n+]3cccc4c3CCC4)CSC12)c1csc(N)n1,235,5,114
104,115,NC(=O)c1cc[n+](CC2=C(C(=O)O)N3C(=O)C(NC(=O)C(c4ccccc4)S(=O)(=O)O)C3SC2)cc1,8130,1,115
105,116,CC1OC2(CS1)CN1CCC2CC1,8129,1,116
106,118,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)CCC4(C)C3CCC21C,2074,2,118
107,119,Cc1ncsc1CCCl,8128,1,119
108,121,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,8127,1,121
109,122,CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21,16,19,122
110,123,C[N+](C)(C)CCO,8126,1,123
111,124,CCOC(=O)C(CCc1ccccc1)NC1CCCN2CCCC(C(=O)O)N2C1=O,8125,1,124
112,125,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,457,4,125
113,126,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,697,4,126
114,127,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,383,5,127
115,128,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,1928,2,128
116,129,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1,1432,2,129
117,130,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,8124,1,130
118,131,Nc1ncn(C2CC(O)C(CO)O2)c(=O)n1,8123,1,131
119,134,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,35,6,134
120,135,CCOC(=O)NC1=C(N2CC2)C(=O)C(NC(=O)OCC)=C(N2CC2)C1=O,8122,1,135
121,136,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,697,4,126
122,138,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,8121,1,138
123,139,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,199,7,139
124,140,NNc1nnc(NN)c2ccccc12,8120,1,140
125,141,CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,698,4,141
126,142,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,222,6,142
127,144,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,8119,1,144
128,145,CC(C)NCCC(C(N)=O)(c1ccccc1)c1ccccn1,8118,1,145
129,148,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,470,4,148
130,149,CN(C)CCC=C1c2ccccc2COc2ccccc21,1140,2,149
131,150,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)=CC21,1763,2,150
132,151,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,8117,1,151
133,152,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,40,14,152
134,153,CC(=Cc1ccccc1)C=C1SC(=S)N(CC(=O)O)C1=O,8116,1,153
135,155,O=C(Cn1ccnc1[N+](=O)[O-])NCCO,8115,1,155
136,157,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,8114,1,157
137,158,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,1139,2,158
