Butina_clusters,cluster_size,cluster_center_ligand_id
950,3,2698
951,3,30
952,1,7574
953,3,7532
954,2,7505
955,3,7489
956,3,7488
957,3,7115
958,2,6919
959,3,206
960,3,7403
961,1,7336
962,3,7307
963,3,5950
964,3,7177
965,1,7199
966,3,4955
967,3,6873
968,3,4449
969,3,7009
970,3,7017
971,3,5486
972,1,6999
973,3,6972
974,3,6781
975,1,6929
976,3,6838
977,1,6829
978,3,6817
979,3,1911
980,1,6797
981,1,6763
982,1,6762
983,3,6687
984,3,2696
985,3,629
986,3,2200
987,3,6552
988,3,1303
989,2,2089
990,1,6442
991,2,6349
992,2,6345
993,3,1159
994,1,6283
995,3,658
996,3,1157
997,2,6135
998,3,6125
999,1,6098
1000,3,6036
1001,1,6012
1002,3,1162
1003,3,2634
1004,1,5988
1005,1,5970
1006,2,5952
1007,1,5942
1008,3,5908
1009,2,5890
1010,3,5546
1011,1,5848
1012,3,5835
1013,3,2377
1014,2,447
1015,3,5706
1016,2,5715
1017,1,5710
1018,2,5662
1019,3,5619
1020,1,5595
1021,3,4443
1022,1,5508
1023,1,5491
1024,3,1602
1025,3,159
1026,3,5356
1027,1,5318
1028,3,5272
1029,3,5242
1030,1,5232
1031,3,5230
1032,1,5213
1033,3,5179
1034,3,4605
1035,2,287
1036,3,3493
1037,3,4226
1038,3,4755
1039,3,4745
1040,1,4723
1041,3,4096
1042,3,4708
1043,2,4465
1044,3,4583
1045,1,4577
1046,3,4542
1047,3,4517
1048,2,4509
1049,3,4468
1050,3,4404
1051,3,4312
1052,3,3837
1053,3,4229
1054,3,4221
1055,3,4129
1056,3,4132
1057,1,4037
1058,1,3950
1059,3,3834
1060,1,3867
1061,1,3847
1062,2,3793
1063,1,3622
1064,3,1170
1065,1,3566
1066,2,3541
1067,1,3556
1068,3,999
1069,3,3456
1070,3,3401
1071,3,1366
1072,3,1626
1073,1,3298
1074,3,3260
1075,3,1466
1076,2,3151
1077,1,3068
1078,1,3054
1079,2,3013
1080,1,2966
1081,3,2963
1082,3,2962
1083,3,2944
1084,3,2931
1085,3,1360
1086,2,2897
1087,3,1968
1088,1,2873
1089,3,1308
1090,3,800
1091,1,2715
1092,3,2691
1093,2,2216
1094,3,4
1095,1,2467
1096,3,2334
1097,3,2221
1098,3,475
1099,3,1097
1100,3,1306
1101,3,2157
1102,2,2115
1103,2,1963
1104,3,2029
1105,3,2028
1106,3,2021
1107,1,1943
1108,3,1844
1109,3,105
1110,3,1786
1111,3,1768
1112,3,1690
1113,2,1687
1114,3,947
1115,1,1270
1116,3,754
1117,3,903
1118,3,1082
1119,3,991
1120,2,973
1121,3,970
1122,1,767
1123,2,725
1124,3,584
1125,3,682
1126,3,263
1127,3,483
1128,3,640
1129,3,322
1130,3,566
1131,3,562
1132,2,496
1133,2,471
1134,2,456
1135,1,416
1136,2,376
1137,2,111
1138,1,310
1139,2,158
1140,2,149
1141,3,63
1142,1,36
1143,2,5965
1144,1,16474
1145,2,13907
1146,2,7453
1147,2,6899
1148,2,14144
1149,2,15241
1150,2,3242
1151,2,2025
1152,2,15135
1153,2,2462
1154,2,16373
1155,2,16345
1156,2,16343
