replicate,btox_median,mean_E_44_median
384,1.7994826138019562,-6.952272727272727
385,1.7878637239336967,-6.929545454545456
386,1.7842436954379082,-6.945454545454546
387,1.8117420375347137,-6.951162790697675
388,1.8061603307724,-6.942521141649048
389,1.8062684386968613,-6.945454545454546
390,1.8025010153651237,-6.927272727272728
391,1.7871010638773441,-6.935714285714283
392,1.8130387496203184,-6.931818181818182
393,1.8057158067822456,-6.947727272727272
394,1.7908026538789272,-6.913636363636365
395,1.7754098707810044,-6.906818181818184
396,1.7936553657054901,-6.947727272727272
397,1.7932517603039742,-6.933221925133688
398,1.7908026538789272,-6.927272727272726
399,1.7907226886600256,-6.933221925133688
400,1.792684057727456,-6.9364745011086475
401,1.8022114224731922,-6.929545454545453
402,1.790803575888276,-6.927272727272728
403,1.7959036726970226,-6.924999999999999
404,1.7905239090323448,-6.913636363636363
405,1.8023297786712646,-6.929545454545456
406,1.7997227925807238,-6.902272727272728
407,1.7890555895864964,-6.946511627906975
408,1.8066590577363968,-6.922991543340381
409,1.7738643288612366,-6.909090909090908
410,1.8104037418961525,-6.934487315010571
411,1.8143716268241405,-6.925
412,1.8038065433502197,-6.918181818181818
413,1.7944622784852982,-6.952272727272727
414,1.7971806824207306,-6.938636363636363
415,1.7962826564908028,-6.936363636363637
416,1.7943589049391448,-6.948837209302326
417,1.8070626202970743,-6.915909090909093
418,1.8051486909389496,-6.952272727272728
419,1.796978080412373,-6.968181818181818
420,1.802596852183342,-6.925
421,1.8026586025953293,-6.936038961038959
422,1.8156947493553162,-6.911363636363637
423,1.801230639219284,-6.939534883720929
424,1.8019620440900326,-6.929545454545456
425,1.7965580224990845,-6.934090909090907
426,1.787669911980629,-6.947727272727272
427,1.796549916267395,-6.929889006342496
428,1.7964382097125053,-6.921202882483373
429,1.7979084849357605,-6.92840909090909
430,1.81678868830204,-6.950000000000002
431,1.8008459210395813,-6.947727272727272
432,1.7947046421468258,-6.940909090909091
433,1.797182785347104,-6.939534883720931
434,1.8038524985313416,-6.916279069767441
435,1.7847457230091095,-6.936713735558407
436,1.79803916066885,-6.906818181818184
437,1.8022799976170063,-6.938636363636363
438,1.8009728342294693,-6.947727272727274
439,1.797753244638443,-6.95
440,1.807168323546648,-6.935299003322259
441,1.791686698794365,-6.943181818181817
442,1.8025351017713547,-6.950000000000001
443,1.7977869808673859,-6.940221987315011
444,1.8012029379606247,-6.965116279069767
445,1.8061156868934631,-6.931025369978858
446,1.799630037508905,-6.938636363636364
447,1.7907226886600256,-6.927272727272726
448,1.7908835411071777,-6.918181818181817
449,1.7851446494460106,-6.918181818181818
450,1.7907470390200615,-6.915909090909091
451,1.7872005570679903,-6.91590909090909
452,1.8076968491077423,-6.95
453,1.7992192166857421,-6.934090909090909
454,1.7989453673362732,-6.9568181818181785
455,1.791109412908554,-6.922727272727274
456,1.8036835566163063,-6.934487315010571
457,1.7894262075424194,-6.93765227021041
458,1.7976654767990112,-6.929545454545456
459,1.7936116755008698,-6.952272727272727
460,1.7997774612158537,-6.925
461,1.7860386483371258,-6.931818181818182
462,1.8059469871222973,-6.9295454545454565
463,1.7887882832437754,-6.954545454545453
464,1.797038204735145,-6.925000000000001
465,1.790803575888276,-6.938636363636363
466,1.807168323546648,-6.952272727272727
467,1.8048306703567505,-6.947727272727272
468,1.7975026667118073,-6.92840909090909
469,1.801230639219284,-6.925
470,1.8010105788707733,-6.941860465116279
471,1.8077314943075178,-6.938636363636364
472,1.7943592220544815,-6.941860465116281
473,1.8012029379606247,-6.929545454545456
474,1.7849409766495228,-6.911904761904763
475,1.7986181825399399,-6.94090909090909
476,1.7847598195075989,-6.927272727272728
477,1.8028183542191982,-6.936713735558407
478,1.7971806824207306,-6.936602870813397
479,1.7998702162876725,-6.927589852008457
480,1.7929982040077448,-6.924999999999997
481,1.8008186519145966,-6.931818181818183
482,1.7927217818796635,-6.937025703794367
483,1.7973809093236923,-6.947727272727273
484,1.7919739224016666,-6.937209302325582
485,1.7947650663554668,-6.943181818181819
486,1.7979084849357605,-6.927272727272729
487,1.7802621275186539,-6.918181818181818
488,1.8077314943075178,-6.968181818181819
489,1.7969171814620495,-6.925
490,1.7998702162876725,-6.925
491,1.7941003441810608,-6.944318181818181
492,1.790456966497004,-6.925000000000001
493,1.7999629713594913,-6.920930232558138
494,1.7929982040077448,-6.947727272727271
495,1.7991696568205953,-6.937209302325582
496,1.8115804585249862,-6.9431818181818175
497,1.7886025309562683,-6.934090909090909
498,1.797332564368844,-6.956818181818179
499,1.8062237948179245,-6.9431818181818175
500,1.8069569170475006,-6.916666666666667
501,1.8055289164185524,-6.941384778012685
502,1.7937617897987366,-6.925
503,1.7750176638364792,-6.937209302325582
504,1.7912034802138805,-6.927272727272728
505,1.793945163488388,-6.954545454545453
506,1.8034405410289764,-6.936363636363637
507,1.8081526160240173,-6.927272727272728
508,1.7907201368361712,-6.925000000000001
509,1.8024669289588928,-6.915909090909092
510,1.7868799790740013,-6.931025369978858
511,1.7915487363934515,-6.941860465116279
512,1.7906687036156654,-6.9454545454545435
513,1.7782757803797722,-6.952272727272728
514,1.7975479066371918,-6.918181818181817
515,1.78849595785141,-6.920454545454543
516,1.8007341474294662,-6.936363636363635
517,1.7976293116807938,-6.952272727272728
518,1.7974099069833755,-6.931818181818182
519,1.7810866013169289,-6.9141196013289035
520,1.7994826138019562,-6.9186046511627906
521,1.8050981909036636,-6.918181818181818
522,1.8062049746513367,-6.927272727272729
523,1.792684057727456,-6.9318181818181825
524,1.7979084849357605,-6.920454545454546
525,1.8024669289588928,-6.936474501108648
526,1.8094586580991745,-6.936363636363637
527,1.8062442168593407,-6.925
528,1.808753028512001,-6.925000000000001
529,1.8020930662751198,-6.931818181818183
530,1.7955812364816666,-6.934090909090907
531,1.802596852183342,-6.915909090909093
532,1.785547599196434,-6.9409090909090905
533,1.7962826564908028,-6.965909090909093
534,1.796506553888321,-6.952272727272727
535,1.7885236516594887,-6.911363636363637
536,1.7956534274853764,-6.938365800865801
537,1.7874450869858265,-6.943181818181818
538,1.8017543256282806,-6.940909090909091
539,1.802781879901886,-6.927906976744185
540,1.7977093607187271,-6.955179704016914
541,1.802781879901886,-6.922727272727274
542,1.779994547367096,-6.9318181818181825
543,1.7849994245916605,-6.936363636363637
544,1.7990866885520518,-6.938636363636365
545,1.8031728491187096,-6.934883720930233
