model,evaluation_domain,n_train,n_calibration,n_test,n_features,model_file,RMSE,MAE,MSE,R2,Spearman,CCC,CI_0.80_size,CI_0.80_coverage,CI_0.90_size,CI_0.90_coverage,CI_0.95_size,CI_0.95_coverage,split_index,seed
BBB pass,bbb_pass_test,5477,1415,1711,2093,results/models/split_07/bbb_pass/model.cbm,0.508539079935248,0.34688179030807753,0.25861199582138855,0.3673681849021013,0.6224644266610152,0.5528042723193946,0.9977231502695059,0.7890122735242548,1.4600171593434512,0.9041496201052016,1.9186859025159682,0.9444769140853302,7,49
Baseline,full_test,7928,2117,2605,2093,results/models/split_07/baseline/model.cbm,0.5491600421477648,0.37828445572695735,0.3015767518917349,0.48255830652818843,0.6752382402525101,0.649707212048179,1.1229035431469123,0.7911708253358926,1.5700981487788592,0.889827255278311,2.1067294962256544,0.9424184261036468,7,49
PCA,full_test,7928,2117,2605,2053,results/models/split_07/pca/model.cbm,0.5448667488759923,0.3774055546240163,0.2968797740306936,0.49061732355576526,0.6832613362071497,0.656934618546677,1.0978323901421145,0.7904030710172745,1.5765026721089725,0.8944337811900192,2.143296992377768,0.9470249520153551,7,49
Plain,bbb_pass_test,7928,2117,1711,2050,results/models/split_07/plain/model.cbm,0.4985755215270494,0.3408500106260796,0.24857755066596934,0.3919150325145281,0.6411841064264702,0.5757712912427776,1.0810356381533328,0.8135593220338984,1.5759279972319216,0.9193454120397428,2.0839512996661793,0.9561659848042081,7,49
Plain,full_test,7928,2117,2605,2050,results/models/split_07/plain/model.cbm,0.537874006829249,0.3696118017167959,0.28930844722255106,0.5036081132663734,0.691262271285732,0.6659868092178255,1.0810356381533328,0.7838771593090211,1.5759279972319213,0.8963531669865643,2.0839512996661793,0.9420345489443378,7,49
ADME,full_test,8166,2024,2460,2161,results/models/split_08/adme/model.cbm,0.467058734412586,0.32435654029451666,0.21814386139108655,0.5149321072361202,0.7239915440997552,0.6797354697722465,1.1429103565019565,0.8516260162601627,1.6923932275876516,0.9349593495934959,2.178757059769222,0.9666666666666667,8,50
BBB pass,bbb_pass_test,5540,1335,1728,2093,results/models/split_08/bbb_pass/model.cbm,0.43976438651157224,0.31476502043424354,0.1933927156438995,0.38779702322401877,0.6428565927920057,0.5925289498591919,1.0166604971449251,0.8258101851851852,1.386212234656782,0.9079861111111112,1.8150663172099404,0.9484953703703703,8,50
Baseline,full_test,8166,2024,2460,2093,results/models/split_08/baseline/model.cbm,0.4806040117447479,0.3386833507580692,0.23098021610514582,0.48638900044314193,0.7043237491535754,0.6737798376169251,1.1949641681052874,0.8455284552845529,1.6538046357284593,0.9247967479674797,2.2277703021120496,0.9650406504065041,8,50
PCA,full_test,8166,2024,2460,2053,results/models/split_08/pca/model.cbm,0.47920695029910565,0.34166757931631847,0.22963930121496953,0.4893706784789379,0.6950023743593787,0.669503188512642,1.1987615986416367,0.8459349593495935,1.7129959953830574,0.9329268292682927,2.240879232353527,0.9634146341463414,8,50
Plain,bbb_pass_test,8166,2024,1728,2050,results/models/split_08/plain/model.cbm,0.4247638037546443,0.30682302325287863,0.18042428898011395,0.42884980735415856,0.6662166849501938,0.6224541379442609,1.16763053662571,0.8663194444444444,1.6829913374709988,0.9479166666666666,2.2598879590126937,0.9797453703703703,8,50
Plain,full_test,8166,2024,2460,2050,results/models/split_08/plain/model.cbm,0.4685926580081644,0.32960660658685836,0.21957907913915653,0.5117407359810495,0.7159201769298661,0.68108981322042,1.1676305366257103,0.8467479674796748,1.682991337470999,0.9353658536585366,2.2598879590126932,0.9723577235772358,8,50
ADME,full_test,8039,2093,2518,2161,results/models/split_09/adme/model.cbm,0.5215825877465583,0.3613765503786149,0.27204839584039614,0.5078140759831602,0.711904196118315,0.6614488446629827,1.065011501200727,0.7871326449563145,1.5780107232194174,0.9011119936457506,2.243906705543772,0.9551231135822081,9,51
BBB pass,bbb_pass_test,5478,1405,1720,2093,results/models/split_09/bbb_pass/model.cbm,0.4734289824915728,0.3321335457996058,0.2241350014630059,0.43780813710180844,0.6736516212915955,0.6058135596595557,1.0455142624753393,0.8145348837209302,1.4688141857615717,0.9052325581395348,1.9140797689866473,0.958139534883721,9,51
Baseline,full_test,8039,2093,2518,2093,results/models/split_09/baseline/model.cbm,0.5426332038611076,0.3762260055330259,0.2944507939325704,0.4672839895214166,0.6837139458360985,0.637254786286923,1.0943197488065017,0.778395552025417,1.6004256037168618,0.8931691818903892,2.246864807232324,0.9503574265289912,9,51
PCA,full_test,8039,2093,2518,2053,results/models/split_09/pca/model.cbm,0.529099157098142,0.3635502669166022,0.27994591804196434,0.49352599591485213,0.703228134286528,0.6550379664029075,1.0761229972863608,0.7891183478951549,1.5723727346411358,0.892374900714853,2.1885463084686623,0.9511517077045274,9,51
Plain,bbb_pass_test,8039,2093,1720,2050,results/models/split_09/plain/model.cbm,0.4620814027208842,0.32016672100647997,0.2135192227405,0.4644354125258374,0.6990176148124632,0.6275063998276935,1.073645329410862,0.8267441860465117,1.5316274105766503,0.9232558139534883,2.1027927568820526,0.9662790697674418,9,51
Plain,full_test,8039,2093,2518,2050,results/models/split_09/plain/model.cbm,0.5199973423057316,0.3595234809115812,0.2703972360050242,0.5108013298751066,0.711728631017988,0.6641136729447286,1.073645329410862,0.7887212073073868,1.5316274105766503,0.8895949166004765,2.1027927568820526,0.9479745830023828,9,51
ADME,full_test,8172,1997,2481,2161,results/models/split_10/adme/model.cbm,0.49807199815297704,0.34865029513972984,0.24807571534409914,0.48964564637003616,0.6894991667624167,0.6418515510126953,1.0607206051202744,0.8045143087464732,1.5279333128512187,0.8931882305521966,2.1484741030930294,0.9564691656590084,10,52
BBB pass,bbb_pass_test,5501,1367,1735,2093,results/models/split_10/bbb_pass/model.cbm,0.47414801109955873,0.3346643476259958,0.22481633642966728,0.39254518365531577,0.6327953773066011,0.5651622979249693,1.0038889910684272,0.7902017291066282,1.4490995044318313,0.8933717579250721,1.830265442860775,0.9446685878962536,10,52
Baseline,full_test,8172,1997,2481,2093,results/models/split_10/baseline/model.cbm,0.5098934352988181,0.3617673202066981,0.25999131536083003,0.4651322499812892,0.6692556770712073,0.6394366518931339,1.1185882561042506,0.807335751713019,1.5119613252348572,0.894397420395002,2.119529485121141,0.9492140266021766,10,52
PCA,full_test,8172,1997,2481,2053,results/models/split_10/pca/model.cbm,0.5072384971572318,0.3577572148477538,0.2572908929983271,0.4706877002898028,0.6786347078708084,0.6422425199526692,1.0917220032332748,0.8012898024989923,1.5565598611377176,0.8972188633615478,2.061010404837919,0.9504232164449818,10,52
