split_index,seed,query_set,reference_set,ligand_id,nearest_ligand_id,max_tanimoto_similarity
0,42,val,train,2948,7538,0.35
0,42,val,train,2949,2860,0.7446808510638298
0,42,val,train,2954,3560,0.5161290322580645
0,42,val,train,2970,1012,0.4444444444444444
0,42,val,train,2978,2968,0.6
0,42,val,train,2983,14345,0.64
0,42,val,train,2990,7296,0.5555555555555556
0,42,val,train,2992,326,0.7916666666666666
0,42,val,train,2994,4130,0.4727272727272727
0,42,val,train,3009,1870,0.4444444444444444
0,42,val,train,3010,1412,0.5490196078431373
0,42,val,train,3015,3149,0.5789473684210527
0,42,val,train,3017,15828,0.30337078651685395
0,42,val,train,3027,6745,0.6923076923076923
0,42,val,train,3037,3788,0.5357142857142857
0,42,val,train,3043,1366,0.5277777777777778
0,42,val,train,3048,12723,0.37777777777777777
0,42,val,train,3090,8956,0.3333333333333333
0,42,val,train,3104,2154,0.625
0,42,val,train,3111,3081,0.6060606060606061
0,42,val,train,3121,3397,0.2857142857142857
0,42,val,train,3126,7139,0.8108108108108109
0,42,val,train,3130,1168,0.4772727272727273
0,42,val,train,3136,6800,0.6341463414634146
0,42,val,train,3137,823,0.5789473684210527
0,42,val,train,3142,1098,0.5714285714285714
0,42,val,train,3157,7210,0.6164383561643836
0,42,val,train,3158,5169,0.7868852459016393
0,42,val,train,3160,5169,0.8333333333333334
0,42,val,train,3161,7210,0.6338028169014085
0,42,val,train,3163,417,0.5185185185185185
0,42,val,train,3174,3952,0.45454545454545453
0,42,val,train,3175,10932,0.6
0,42,val,train,3179,1700,0.4411764705882353
0,42,val,train,3186,7210,0.6901408450704225
0,42,val,train,3187,7210,0.625
0,42,val,train,3193,7210,0.6
0,42,val,train,3195,15317,0.36363636363636365
0,42,val,train,3202,3438,0.6285714285714286
0,42,val,train,3240,7210,0.6081081081081081
0,42,val,train,3243,15232,0.4107142857142857
0,42,val,train,3251,16427,0.6
0,42,val,train,3254,2991,0.4166666666666667
0,42,val,train,3259,211,0.5217391304347826
0,42,val,train,3261,12698,0.3888888888888889
0,42,val,train,3265,2061,0.3333333333333333
0,42,val,train,3266,2116,0.48717948717948717
0,42,val,train,3272,15336,0.5445544554455446
0,42,val,train,3275,2214,0.5789473684210527
0,42,val,train,3277,9404,0.6097560975609756
0,42,val,train,3299,3300,0.4444444444444444
0,42,val,train,3301,2115,0.5185185185185185
0,42,val,train,3304,4634,0.35294117647058826
0,42,val,train,3312,4610,0.4146341463414634
0,42,val,train,3314,3316,0.6818181818181818
0,42,val,train,3315,3316,0.6382978723404256
0,42,val,train,3317,3316,0.625
0,42,val,train,3329,5627,0.3953488372093023
0,42,val,train,3332,728,0.6666666666666666
0,42,val,train,3338,2941,0.5121951219512195
0,42,val,train,3339,2941,0.44680851063829785
0,42,val,train,3340,1531,0.6486486486486487
0,42,val,train,3345,7199,0.49122807017543857
0,42,val,train,3359,1873,0.391304347826087
0,42,val,train,3368,12641,0.4489795918367347
0,42,val,train,3380,5020,0.703125
0,42,val,train,3386,13286,0.6923076923076923
0,42,val,train,3392,2070,0.43333333333333335
0,42,val,train,3404,1016,0.55
0,42,val,train,3410,16303,0.6875
0,42,val,train,3412,2488,0.35
0,42,val,train,3413,1549,0.41379310344827586
0,42,val,train,3424,1705,0.4411764705882353
0,42,val,train,3444,13809,0.5588235294117647
0,42,val,train,3459,1669,0.6190476190476191
0,42,val,train,3470,2495,0.4634146341463415
0,42,val,train,3480,3482,0.3888888888888889
0,42,val,train,3485,6741,0.4888888888888889
0,42,val,train,3489,3982,0.5588235294117647
0,42,val,train,3512,8764,0.38596491228070173
0,42,val,train,3516,13982,0.40476190476190477
0,42,val,train,3523,2653,0.4
0,42,val,train,3530,10620,0.5185185185185185
0,42,val,train,3532,547,0.40625
0,42,val,train,3536,5013,0.6451612903225806
0,42,val,train,3538,7139,0.6976744186046512
0,42,val,train,3543,4285,0.5813953488372093
0,42,val,train,3548,6607,0.5
0,42,val,train,3554,1887,0.5714285714285714
0,42,val,train,3563,1832,0.45652173913043476
0,42,val,train,3567,1436,0.48484848484848486
0,42,val,train,3570,3568,0.5555555555555556
0,42,val,train,3574,3316,0.625
0,42,val,train,3579,11769,0.48936170212765956
0,42,val,train,3580,8068,0.4666666666666667
0,42,val,train,3581,11770,0.5098039215686274
0,42,val,train,3582,11770,0.7021276595744681
0,42,val,train,3586,1491,0.5
0,42,val,train,3594,7610,0.4666666666666667
0,42,val,train,3595,4698,0.27586206896551724
0,42,val,train,3596,1023,0.375
0,42,val,train,3622,6360,0.7857142857142857
0,42,val,train,3635,15364,0.2916666666666667
0,42,val,train,3645,3980,0.5483870967741935
0,42,val,train,3647,3648,0.5882352941176471
0,42,val,train,3669,6577,0.28125
0,42,val,train,3672,8707,0.6451612903225806
0,42,val,train,3689,3246,0.3333333333333333
0,42,val,train,3696,3247,0.4935064935064935
0,42,val,train,3700,4025,0.36363636363636365
0,42,val,train,3711,2233,0.5151515151515151
0,42,val,train,3713,1390,0.4666666666666667
0,42,val,train,3717,67,0.43333333333333335
0,42,val,train,3726,8891,0.5
0,42,val,train,3729,7130,0.42424242424242425
0,42,val,train,3731,15546,0.47619047619047616
0,42,val,train,3738,5593,0.5
0,42,val,train,3740,5963,0.4642857142857143
0,42,val,train,3744,2310,0.3
0,42,val,train,3748,11212,0.4
0,42,val,train,3752,1865,0.4
0,42,val,train,3761,3762,0.4642857142857143
0,42,val,train,3764,3096,0.4074074074074074
0,42,val,train,3771,3816,0.5806451612903226
0,42,val,train,3777,3421,0.46153846153846156
0,42,val,train,3782,15410,0.3191489361702128
0,42,val,train,3800,9772,0.5
0,42,val,train,3801,15050,0.4074074074074074
0,42,val,train,3807,74,0.36666666666666664
0,42,val,train,3817,11630,0.4883720930232558
0,42,val,train,3821,690,0.24390243902439024
0,42,val,train,3833,9028,0.5263157894736842
0,42,val,train,3841,2469,0.4583333333333333
