split_index,seed,n_model_train,n_calibration,n_test,plain_test_rmse,plain_test_mae,plain_test_mse,plain_test_r2,plain_test_spearman,plain_test_ccc,global_interval_width,global_test_coverage,local_test_coverage,local_test_mean_width,local_test_median_width,local_test_width_p10,local_test_width_p90,local_test_min_width,local_test_max_width,local_test_mean_neff,local_width_below_global_count,local_width_below_global_fraction,fallback_fraction,map_min_width,map_max_width,map_width_p10,map_width_p90,map_displayed_grid_fraction
16,58,8002,1981,2667,0.5420560430252938,0.3749429897264659,0.2938247537802391,0.5004503627256016,0.6850114891995491,0.6402788946283116,1.6609964282437444,0.9028871391076115,0.8912635920509936,1.5651749280748564,1.582798902275174,1.1531711027982325,1.9414676001024782,1.0976615942877839,2.7379927616490214,526.8811051604519,1641,0.6152980877390326,0.007874015748031496,1.1442919925141342,2.1006745304949255,1.2701825997840381,1.954288197496193,0.95328125
17,59,8143,2031,2476,0.5244261511595144,0.3716385917609436,0.2750227880199818,0.5104530612645677,0.6919582986260263,0.6535359885513811,1.637465323948395,0.8941841680129241,0.8832794830371568,1.5367271747611024,1.516180037826107,1.2063189527641995,1.9232344141170028,0.9875369052828766,3.2329149885249713,530.4208270982974,1649,0.6659935379644588,0.012520193861066236,1.215834965180786,2.0620852267309284,1.2591301931795351,1.9522679689325173,0.95328125
18,60,8249,1988,2413,0.5550824968514736,0.387387706898187,0.3081165783108662,0.4625680274915631,0.6507652083678918,0.615096133561333,1.6099931624570072,0.8843762950683796,0.8806464981351015,1.524767118910846,1.4601039224921193,1.2379158428927983,1.9791422447130316,1.1292251073266124,2.48975919844562,515.3277669719662,1650,0.6837961044343142,0.007045171985080812,1.2338193511480497,2.254682167422833,1.2712769665394519,2.0439961827540363,0.95328125
19,61,8076,2018,2556,0.5257141206027808,0.36951673649174516,0.2763753366011551,0.46929948401312205,0.6852379158824835,0.6175634358452651,1.630496118610897,0.8998435054773083,0.8939749608763693,1.5467292108634751,1.521678651292504,1.2621802943893181,1.850263906133513,1.0198534344185237,2.334823602153042,538.2055875820565,1568,0.6134585289514867,0.006651017214397496,1.2420534514974777,1.9269374440791196,1.3085029857042156,1.876876125602218,0.95328125
20,62,8135,2018,2497,0.5186599129420411,0.35770056929308003,0.26900810529304564,0.46329800148059674,0.6790324873320767,0.622935726785722,1.5852647468969447,0.9042851421706047,0.8918702442931518,1.469643164155387,1.5413768441751055,1.0973281318559496,1.7462701273555297,0.8662947778439589,2.389445085488206,537.1674162004011,1678,0.672006407689227,0.012014417300760914,0.9930418896904203,1.9745518516297549,1.24748417598692,1.7826211579627025,0.95328125
21,63,8005,2059,2586,0.5181763837914976,0.3714985198827189,0.26850676471923335,0.47334348915209556,0.6700586800518183,0.6342216373124097,1.5689428733304434,0.8928847641144625,0.8778035576179428,1.4543571350031292,1.4021972714018602,1.1359107629021024,1.854828146425353,1.0280628271271377,2.740882328802493,532.2330225805916,1766,0.682907965970611,0.01585460170146945,1.125888350210991,2.0797330589407035,1.2227483763613736,1.8907299054810454,0.95328125
22,64,7924,2091,2635,0.524550046566993,0.36503903300257207,0.27515275135343453,0.507798589540774,0.7087223028358586,0.6397487240718414,1.557552059631666,0.8952561669829222,0.8891840607210626,1.4837687627026037,1.4749210369166752,1.1563013596231375,1.777417982107428,1.0605548308719186,2.0704187749535405,530.800435970443,1612,0.611764705882353,0.014800759013282733,1.147409214901429,1.9041982104611677,1.2632194811222912,1.805857863427356,0.95328125
23,65,8101,1985,2564,0.553087818007788,0.3759659338286861,0.3059061344286159,0.40596868083283155,0.6452447207389905,0.5666683256960635,1.6689160413022517,0.8993759750390016,0.8943057722308893,1.5636880622071365,1.563051838716654,1.1245792719089298,1.9723395694896286,1.032021362374607,2.6980000205552876,520.8248960174813,1576,0.6146645865834633,0.00858034321372855,1.0995539613916794,2.3087029862672,1.302722923383342,2.01358306932972,0.95328125
24,66,8134,2017,2499,0.5372491871072274,0.3722728472244143,0.28863668904737655,0.49155958368952435,0.689365285469132,0.6407869289562086,1.5830433062733515,0.8915566226490597,0.8867547018807523,1.5534266377065251,1.5584120681858469,1.1020012773003396,1.982287782281709,1.0554954550625135,3.1666746273638067,509.98509551448933,1335,0.5342136854741897,0.018807523009203683,1.0851110939963597,2.1914020513548484,1.228704980513132,1.9784585185519772,0.95328125
25,67,8055,2073,2522,0.5371239560626457,0.36846027460417824,0.28850214417638703,0.4719597498048165,0.6854943500926483,0.6231041834387389,1.7029436963662619,0.9123711340206185,0.9020618556701031,1.6113896868176156,1.691434601642145,1.0261098199790186,2.0338718903377577,0.9255462091632358,2.4452997448625435,548.9089402228556,1282,0.5083267248215702,0.0043616177636796195,1.0155968383143037,2.043491775339477,1.2217839138809807,1.9649873833447296,0.95328125
