scope,split_index,seed,query_set,reference_set,n_queries,median,p90,p95,p99,maximum,fraction_ge_0.70,fraction_ge_0.80,fraction_ge_0.90
per_split,14,56,test,train,2447,0.5384615384615384,0.6587583148558759,0.7415770609318995,0.8438431372549019,0.9767441860465116,0.07396812423375562,0.027380465876583573,0.0032693093583980384
per_split,14,56,test,val,2447,0.40384615384615385,0.5833333333333334,0.627906976744186,0.7789777777777778,0.9772727272727273,0.01961585615038823,0.006947282386595832,0.0012259910093992644
per_split,14,56,val,train,1948,0.5348837209302325,0.6666666666666666,0.7412580645161287,0.8415430622009569,0.9302325581395349,0.0728952772073922,0.023613963039014373,0.000513347022587269
per_split,15,57,test,train,2520,0.5409836065573771,0.6585365853658537,0.7291948198198196,0.8376282404853833,0.9767441860465116,0.07222222222222222,0.02023809523809524,0.0011904761904761906
per_split,15,57,test,val,2520,0.4230769230769231,0.6,0.6379310344827587,0.7491949152542371,0.9772727272727273,0.017063492063492062,0.006746031746031746,0.0011904761904761906
per_split,15,57,val,train,2066,0.5384615384615384,0.6590555267254801,0.7364551083591331,0.831028368794326,0.972972972972973,0.07357212003872217,0.022265246853823813,0.000968054211035818
per_split,16,58,test,train,2667,0.5384615384615384,0.6578947368421053,0.7245212765957444,0.8371097628240487,0.9772727272727273,0.07011623547056618,0.019122609673790775,0.0018747656542932134
per_split,16,58,test,val,2667,0.41379310344827586,0.6,0.6363636363636364,0.7467647058823537,0.8837209302325582,0.02249718785151856,0.00562429696287964,0.0
per_split,16,58,val,train,1981,0.5428571428571428,0.6666666666666666,0.7307692307692307,0.8411483253588518,0.90625,0.07168096920747097,0.02170620898536093,0.0010095911155981827
per_split,17,59,test,train,2476,0.5357142857142857,0.6486486486486487,0.7393478260869565,0.8373664362036455,0.9375,0.06987075928917609,0.02382875605815832,0.0004038772213247173
per_split,17,59,test,val,2476,0.4166666666666667,0.6,0.6388888888888888,0.7561827956989247,0.9302325581395349,0.021809369951534735,0.004038772213247173,0.0004038772213247173
per_split,17,59,val,train,2031,0.5384615384615384,0.6829268292682927,0.7525510204081632,0.8473244147157192,0.972972972972973,0.08468734613490891,0.028557360905957656,0.0014771048744460858
per_split,18,60,test,train,2413,0.5277777777777778,0.6666666666666666,0.75,0.853794326241135,0.9375,0.07832573559883962,0.03232490675507667,0.0012432656444260257
per_split,18,60,test,val,2413,0.40625,0.5890756302521011,0.625,0.7222222222222222,0.90625,0.01326150020721094,0.003315375051802735,0.0004144218814753419
per_split,18,60,val,train,1988,0.5339080459770115,0.6724595666768386,0.7391304347826086,0.8407999999999992,0.9767441860465116,0.08148893360160966,0.022132796780684104,0.0025150905432595573
per_split,19,61,test,train,2556,0.5384615384615384,0.6575187969924812,0.7368421052631579,0.8494811320754715,0.9767441860465116,0.07394366197183098,0.023865414710485134,0.0011737089201877935
per_split,19,61,test,val,2556,0.41818181818181815,0.6122448979591837,0.6470588235294118,0.78,0.9767441860465116,0.025039123630672927,0.008607198748043818,0.0011737089201877935
per_split,19,61,val,train,2018,0.5348837209302325,0.6666666666666666,0.7302503052503051,0.8396324324324322,0.9772727272727273,0.0688800792864222,0.019821605550049554,0.003468780971258672
per_split,20,62,test,train,2497,0.5348837209302325,0.6923076923076923,0.7468253968253961,0.8602666666666664,0.972972972972973,0.09171005206247497,0.030837004405286344,0.005206247496996396
